S. No.,Method,Acc,Instrument,Qty,Buy Price,Sell Price,Stop Loss,Buy Date,Sell Date
239,MISC,UT0149,DOLATALGO,7,90.9,69.7,,04-11-21,10-01-24
240,MISC,UT0149,VALIANTORG,15,"1,317.20",486.7,,04-11-21,10-01-24
241,3*3,UT0149,PNB,7,42,53.3,,04-11-21,22-12-22
242,GEM,UT0149,IDFCFIRSTB,7,51.1,49.8,,04-11-21,05-09-22
243,3*3,RA1144,TATASTEEL,79,"1,253.60","1,341.20",,16-11-21,18-04-22
244,3*3,RA1144,CANBK,507,216.1,225.2,,23-11-21,21-07-22
245,3*3,RA1144,VAIBHAVGBL,175,505.7,"1,040.00",,29-11-21,
246,3*3,RA1144,JMFINANCIL,713,70.2,95.35,,02-12-21,06-09-23
247,MISC,UT0149,COLPAL,28,"1,441.70","1,644.20",,16-12-21,02-05-22
248,MISC,UT0149,HDFCBANK,15,"1,512.70","1,545.20",,16-12-21,11-11-22
249,MISC,RA1144,SHRIRAMCIT,118,"1,692.70","1,759.20",,24-12-21,31-12-21
250,MISC,RA1144,REPCOHOME,621,266.2,269.86,,31-12-21,06-01-22
251,3*3,RA1144,BAJAJHIND,"2,740",15.7,22.4,,04-01-22,23-08-23
252,3*3,RA1144,BAJAJHIND,"1,930",17.2,22.4,,07-01-22,23-08-23
253,MISC,RA1144,MAHSCOOTER,12,"4,019.70","3,974.20",,07-01-22,02-08-22
254,3*3,RA1144,PILANIINVS,84,"1,985.93","1,829.40",,07-01-22,05-06-23
255,3*3,RA1144,BAJAJHIND,"4,341",17,22.4,,10-01-22,23-08-23
256,3*3,RA1144,KTKBANK,"2,250",66.75,67.85,,10-01-22,07-07-22
257,3*3,RA1144,NMDC,150,136.7,136.7,,11-01-22,05-06-23
258,3*3,RA1144,NMDC,565,140.7,140.7,,12-01-22,05-06-23
259,3*3,UT0149,ASIANTILES,592,122.9,44.04,,13-01-22,06-05-25
260,3*3,UT0149,BAJAJHIND,"3,125",16.05,22.12,,13-01-22,23-08-23
261,3*3,UT0149,BAJAJHIND,"5,800",17.3,22.12,,14-01-22,23-08-23
262,3*3,RA1144,RPOWER,"6,900",14.5,22.45,,14-01-22,05-09-22
263,3*3,RA1144,RPOWER,"6,150",16.3,22.45,,18-01-22,05-09-22
264,3*3,RA1144,5PAISA,117,401.2,702,,03-02-22,10-01-24
265,MISC,RA1144,MAHSCOOTER,14,"3,778.20","3,974.20",,03-02-22,02-08-22
266,3*3,RA1144,5PAISA,132,403.7,702,,04-02-22,10-01-24
267,3*3,RA1144,GTLINFRA,"48,000",2.1,1.3,,04-02-22,15-09-23
268,MISC,RA1144,INDIAMART,20,"2,572.88","3,277.70",,04-02-22,07-09-23
269,3*3,RA1144,BIRLAMONEY,"1,955",73.2,68.55,,05-02-22,12-09-23
